Index,CITY,STATE
632,Agua Delgada,Nuevo Leon
633,Agua Don Pablo,Sonora
634,Agua Dorada,Veracruz
635,Agua Duende,Oaxaca
636,Agua Dulce,Zacatecas
637,Agua Dulce (Sierra Morena),Nuevo Leon
638,Agua Dulce Tehuacan,Chiapas
639,Agua Encantada,Durango
640,Agua Enmedio,Durango
641,Agua Enterrada,Queretaro
642,Agua Escondida,Veracruz
643,Agua Escondida [La Soledad],Baja California
644,Agua Escondida de Abajo,Baja California Sur
645,Agua Escondida de Arriba,Baja California Sur
646,Agua Esondida,Chiapas
647,Agua Espiritu,Zacatecas
648,Agua Fea,Zacatecas
649,Agua Florida,Hidalgo
650,Agua Fresca,Nuevo Leon
651,Agua Fria,Zacatecas
652,Agua Fria Chica,Hidalgo
653,Agua Fria Copala,Oaxaca
654,Agua Fria Grande,Hidalgo
655,Agua Fria Segundo,Tamaulipas
656,Agua Fria de Abajo,Zacatecas
657,Agua Fria de Arriba,Zacatecas
658,Agua Fria de Coyotitan,Sinaloa
659,Agua Fria de Gudino,Queretaro
660,Agua Fria de la Barranca,Queretaro
661,Agua Fria de los Fresnos,San Luis Potosi
662,Agua Fría,Zacatecas
663,Agua Fría Juxtlahuaca,Oaxaca
664,Agua Fría Segunda Sección,Tabasco
665,Agua Fría del Campanario,Oaxaca
666,Agua Gorda,Zacatecas
667,Agua Gorda de los Patos,Zacatecas
668,Agua Gordita,Zacatecas
669,Agua Grande,Sonora
670,Agua Gregorio,Baja California Sur
671,Agua Hechicera,Baja California
672,Agua Hedionda,Veracruz
673,Agua Hedionda Primero,Chihuahua
674,Agua Hedionda Segundo,Chihuahua
675,Agua Helada,Sonora
676,Agua Hernandez,Guerrero
677,Agua Honda,Sonora
678,Agua Junta,Chihuahua
679,Agua La Trinidad,Baja California
680,Agua La Vírgen,Coahuila de Zaragoza
681,Agua Larga,Sonora
682,Agua Leon,Chiapas
683,Agua León,Oaxaca
684,Agua Limpia,Mexico
685,Agua Linda,Veracruz
686,Agua Luisa,Coahuila de Zaragoza
687,Agua Lurca,Sonora
688,Agua Mala,Nayarit
689,Agua Maria,Sonora
690,Agua Marina,Veracruz
691,Agua Matías,Baja California
692,Agua Milpa,Jalisco
693,Agua Milpa de Abajo,Jalisco
694,Agua Milpa de Arriba,Jalisco
695,Agua Morales,Jalisco
696,Agua Mosquito,Oaxaca
697,Agua Mucha,Colima
698,Agua Nacida,Veracruz
699,Agua Negra,Tamaulipas
700,Agua Negro,Tamaulipas
701,Agua Nueva,Zacatecas
702,Agua Nueva Dos,Durango
703,Agua Nueva Norte,San Luis Potosi
704,Agua Nueva del Norte,San Luis Potosi
705,Agua Nueva del Sur,San Luis Potosi
706,Agua Nuevo,Nuevo Leon
707,Agua Paloma,Jalisco
708,Agua Parta,Baja California
709,Agua Pascual,San Luis Potosi
710,Agua Paxtle,Oaxaca
711,Agua Perla,Chiapas
712,Agua Pinol,Baja California Sur
713,Agua Pinole,Veracruz
714,Agua Postrera,San Luis Potosi
715,Agua Prieta,Sonora
716,Agua Prieta Chico,Durango
717,Agua Prietilla,Sinaloa
718,Agua Prieto,Tabasco
719,Agua Puerca,Zacatecas
720,Agua Redonda,Jalisco
721,Agua Regada,Veracruz
722,Agua Relumbrosa,Baja California Sur
723,Agua Revuelta,Sinaloa
724,Agua Rosa,Veracruz
725,Agua Rosada,Michoacan de Ocampo
726,Agua Sal,Durango
727,Agua Salada,Zacatecas
728,Agua Salado,Durango
729,Agua San Antonio,Coahuila de Zaragoza
730,Agua Santa,Veracruz
731,Agua Santa Ana,Puebla
732,Agua Santa II,Puebla
733,Agua Santa Potrerillos,Michoacan de Ocampo
734,Agua Seca,Sinaloa
735,Agua Seda,Nayarit
736,Agua Señora,Zacatecas
737,Agua Suelos,Veracruz
738,Agua Tapada,Sonora
739,Agua Taraguntín,Oaxaca
740,Agua Teca,Durango
741,Agua Tejocotes,Oaxaca
742,Agua Tendida,Sonora
743,Agua Tibia,Zacatecas
744,Agua Tibia de Ayala,Guanajuato
745,Agua Tinta,Jalisco
746,Agua Tordillo,Guerrero
747,Agua Toro,San Luis Potosi
748,Agua Trinidad,Baja California
749,Agua Verde,Sonora
750,Agua Verde (El Salto),Nayarit
751,Agua Vicente,Guerrero
752,Agua Vieja,Durango
753,Agua Viva,Chihuahua
754,Agua Zarca,Zacatecas
755,Agua Zarca de Arriba,Sinaloa
756,Agua Zarca de Martínez,Zacatecas
757,Agua Zarca de Miravalles,Nayarit
758,Agua Zarca de la Pena,Guerrero
759,Agua Zarca de los Martinez,Zacatecas
760,Agua Zarca del Pinal,Guanajuato
761,Agua Zarca del Sur,Michoacan de Ocampo
762,Agua Zarco de Oriente,Michoacan de Ocampo
763,Agua Zarquita,Jalisco
764,Agua Zoquete,Chihuahua
765,Agua catitlán,Guerrero
766,Agua de Abajo,Tamaulipas
767,Agua de Afuera,Coahuila de Zaragoza
768,Agua de Agriero,Coahuila de Zaragoza
769,Agua de Agueero,Coahuila de Zaragoza
770,Agua de Aguero,Coahuila de Zaragoza
771,Agua de Arriba,Coahuila de Zaragoza
772,Agua de Ayala,Michoacan de Ocampo
773,Agua de Benino,Nuevo Leon
774,Agua de Camotes,San Luis Potosi
775,Agua de Castilla,Tamaulipas
776,Agua de Chale,Baja California
777,Agua de Chaley,Baja California
778,Agua de Chanc,Chihuahua
779,Agua de Chano,Chihuahua
780,Agua de Chepe,Michoacan de Ocampo
781,Agua de Colonia,Sinaloa
782,Agua de Correa,Guerrero
783,Agua de Crescencio,Durango
784,Agua de Cruz,Baja California
785,Agua de Cuca,Zacatecas
786,Agua de Cuchilla,Mexico
787,Agua de Dios,Durango
788,Agua de Enmedio,Tamaulipas
789,Agua de Ferriz,Chihuahua
790,Agua de Fierro,San Luis Potosi
791,Agua de Flores,Guerrero
792,Agua de Galan,Sonora
793,Agua de Gallo,Colima
794,Agua de Gamotes,San Luis Potosi
795,Agua de Gomates,San Luis Potosi
796,Agua de Gutierrez,Sonora
797,Agua de Higuera,Baja California
798,Agua de Isidro,Chihuahua
799,Agua de Jorge,Durango
800,Agua de Juan,Baja California Sur
801,Agua de Julián,Coahuila de Zaragoza
802,Agua de Leon,Veracruz
803,Agua de León,Baja California Sur
804,Agua de Lopez,Baja California Sur
805,Agua de Lourdes,Chihuahua
806,Agua de Luna,Puebla
807,Agua de Mata,Chihuahua
808,Agua de Mateo,Durango
809,Agua de Mayo,Chihuahua
810,Agua de Mejia,Baja California Sur
811,Agua de Mezquite,Sonora
812,Agua de Montes,Chihuahua
813,Agua de Niño,Oaxaca
